Day,State,Status,N
16,NT,InSymp,3
16,NT,Critic,0
16,NT,Isolated,12
16,OTH,Killed,0
16,OTH,Healed,0
16,OTH,Suscep,3246
16,OTH,NoSymp,0
16,OTH,InSymp,0
16,OTH,Critic,0
16,OTH,Isolated,0
17,NSW,Killed,43
17,NSW,Healed,4423
17,NSW,Suscep,6853562
17,NSW,NoSymp,1430
17,NSW,InSymp,1016
17,NSW,Critic,125
17,NSW,Isolated,5091
17,VIC,Killed,18
17,VIC,Healed,1572
17,VIC,Suscep,5450014
17,VIC,NoSymp,96
17,VIC,InSymp,148
17,VIC,Critic,19
17,VIC,Isolated,997
17,QLD,Killed,7
17,QLD,Healed,1142
17,QLD,Suscep,4255536
17,QLD,NoSymp,35
17,QLD,InSymp,87
17,QLD,Critic,16
17,QLD,Isolated,525
17,WA,Killed,9
17,WA,Healed,563
17,WA,Suscep,1541145
17,WA,NoSymp,2
17,WA,InSymp,18
17,WA,Critic,1
17,WA,Isolated,49
17,SA,Killed,4
17,SA,Healed,445
17,SA,Suscep,2239578
17,SA,NoSymp,0
17,SA,InSymp,5
17,SA,Critic,0
17,SA,Isolated,31
17,TAS,Killed,14
17,TAS,Healed,351
17,TAS,Suscep,459371
17,TAS,NoSymp,44
17,TAS,InSymp,78
17,TAS,Critic,10
17,TAS,Isolated,498
17,ACT,Killed,3
17,ACT,Healed,103
17,ACT,Suscep,183832
17,ACT,NoSymp,0
17,ACT,InSymp,0
17,ACT,Critic,0
17,ACT,Isolated,0
17,NT,Killed,0
17,NT,Healed,34
17,NT,Suscep,359534
17,NT,NoSymp,0
17,NT,InSymp,3
17,NT,Critic,0
17,NT,Isolated,12
17,OTH,Killed,0
17,OTH,Healed,0
17,OTH,Suscep,3246
17,OTH,NoSymp,0
17,OTH,InSymp,0
17,OTH,Critic,0
17,OTH,Isolated,0
18,NSW,Killed,43
18,NSW,Healed,4688
18,NSW,Suscep,6853304
18,NSW,NoSymp,1341
18,NSW,InSymp,1003
18,NSW,Critic,132
18,NSW,Isolated,5179
18,VIC,Killed,18
18,VIC,Healed,1601
18,VIC,Suscep,5450004
18,VIC,NoSymp,82
18,VIC,InSymp,145
18,VIC,Critic,18
18,VIC,Isolated,996
18,QLD,Killed,7
18,QLD,Healed,1176
18,QLD,Suscep,4255530
18,QLD,NoSymp,25
18,QLD,InSymp,85
18,QLD,Critic,14
18,QLD,Isolated,511
18,WA,Killed,9
18,WA,Healed,566
18,WA,Suscep,1541145
18,WA,NoSymp,1
18,WA,InSymp,15
18,WA,Critic,1
18,WA,Isolated,50
