Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,x coordinate,y coordinate,Location
2018,104,103226,103226,437-439 Elizabeth Street,Melbourne (CBD),Menya Ramen,4511,Cafes and Restaurants,Seats - Outdoor,10,144.96024,-37.80881,"(-37.80880977, 144.9602363)"
2018,104,103228,103228,449-451 Elizabeth Street,Melbourne (CBD),Malaysian Laksa House,4511,Cafes and Restaurants,Seats - Indoor,54,144.96022,-37.80856,"(-37.80856362, 144.9602156)"
2018,104,103228,103228,449-451 Elizabeth Street,Melbourne (CBD),Malaysian Laksa House,4511,Cafes and Restaurants,Seats - Outdoor,16,144.96022,-37.80856,"(-37.80856362, 144.9602156)"
2018,94,105480,105480,360 La Trobe Street,Melbourne (CBD),Dotonbori,4511,Cafes and Restaurants,Seats - Indoor,52,144.95914,-37.81072,"(-37.81072046, 144.9591368)"
2018,94,105480,105480,360 La Trobe Street,Melbourne (CBD),Little Ipoh,4511,Cafes and Restaurants,Seats - Indoor,50,144.95914,-37.81072,"(-37.81072046, 144.9591368)"
2018,104,108087,108087,408-416 Queen Street,Melbourne (CBD),Phancy Cafe & Catering,4511,Cafes and Restaurants,Seats - Indoor,40,144.95852,-37.80898,"(-37.80898117, 144.9585205)"
2018,104,108087,108087,408-416 Queen Street,Melbourne (CBD),Phancy Cafe & Catering,4511,Cafes and Restaurants,Seats - Outdoor,10,144.95852,-37.80898,"(-37.80898117, 144.9585205)"
2018,78,103618,103618,242-284 Exhibition Street,Melbourne (CBD),Coopers Inn,4520,"Pubs, Taverns and Bars",Seats - Indoor,300,144.96998,-37.80942,"(-37.80941511, 144.9699756)"
2018,78,103618,103618,242-284 Exhibition Street,Melbourne (CBD),Coopers Inn,4520,"Pubs, Taverns and Bars",Seats - Outdoor,16,144.96998,-37.80942,"(-37.80941511, 144.9699756)"
2018,78,103618,103618,242-284 Exhibition Street,Melbourne (CBD),Barista Cafe,4511,Cafes and Restaurants,Seats - Indoor,52,144.96998,-37.80942,"(-37.80941511, 144.9699756)"
2018,97,103617,103617,355-357 Exhibition Street,Melbourne (CBD),Thailicious,4511,Cafes and Restaurants,Seats - Indoor,25,144.96818,-37.80752,"(-37.80752105, 144.9681751)"
2018,97,103617,103617,355-357 Exhibition Street,Melbourne (CBD),Thailicious,4511,Cafes and Restaurants,Seats - Outdoor,12,144.96818,-37.80752,"(-37.80752105, 144.9681751)"
2018,115,104103,104103,34-38 Franklin Street,Melbourne (CBD),Captain Melville,4520,"Pubs, Taverns and Bars",Seats - Indoor,160,144.96162,-37.80752,"(-37.80752193, 144.9616202)"
2018,115,104103,104103,34-38 Franklin Street,Melbourne (CBD),Captain Melville,4520,"Pubs, Taverns and Bars",Seats - Outdoor,70,144.96162,-37.80752,"(-37.80752193, 144.9616202)"
2018,115,109491,109491,15-21 Therry Street,Melbourne (CBD),Hotel Ibis,4400,Accommodation,Seats - Indoor,75,144.96140,-37.80723,"(-37.8072348, 144.9613988)"
2018,18,108976,108976,13-23 Spring Street,Melbourne (CBD),Mercure Hotel,4400,Accommodation,Seats - Indoor,80,144.97420,-37.81477,"(-37.81476902, 144.9742045)"
2018,27,102065,102065,75-81 Collins Street,Melbourne (CBD),Alexandra Club,4530,Clubs (Hospitality),Seats - Indoor,160,144.97117,-37.81441,"(-37.8144084, 144.9711728)"
2018,27,102067,102067,89-105 Collins Street,Melbourne (CBD),Barista 101,4511,Cafes and Restaurants,Seats - Indoor,38,144.97081,-37.81489,"(-37.81489298, 144.9708136)"
