Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,x coordinate,y coordinate,Location
2018,54,109954,109954,15-19 Warburton Lane,Melbourne (CBD),Murmur,50,144.96185,-37.81381,"(-37.81381257, 144.9618461)"
2018,45,105960,105960,318-322 Little Collins Street,Melbourne (CBD),New Guernica,380,144.96401,-37.81488,"(-37.81488401, 144.9640096)"
2018,24,103174,103174,55-57 Elizabeth Street,Melbourne (CBD),Fiftyfive,88,144.96413,-37.81697,"(-37.81697239, 144.9641298)"
2018,14,103165,103165,1-5 Elizabeth Street,Melbourne (CBD),Dreams Gentlemen's Club,160,144.96461,-37.81806,"(-37.81805663, 144.964608)"
2018,6,578321,573333,2 Swanston Street,Melbourne (CBD),Beer De Luxe,1000,144.97052,-37.81778,"(-37.81777783, 144.9705233)"
2018,55,101194,101194,314-336 Bourke Street,Melbourne (CBD),Mural Hall,900,144.96383,-37.81345,"(-37.8134506, 144.9638271)"
2018,14,104003,104003,2-8 Queen Street,Melbourne (CBD),Candela Nuevo,300,144.96271,-37.81859,"(-37.81858764, 144.9627099)"
2018,16,103938,103938,187 Flinders Lane,Melbourne (CBD),Mon Bijou,180,144.96838,-37.81636,"(-37.81635747, 144.9683752)"
2018,14,103946,103946,313-315 Flinders Lane,Melbourne (CBD),Randy Dragon,100,144.96385,-37.81764,"(-37.81763876, 144.9638509)"
2018,35,109271,109271,125-133 Swanston Street,Melbourne (CBD),Max Watt's,800,144.96580,-37.81472,"(-37.81472249, 144.9658025)"
2018,46,105964,105964,188-194 Little Collins Street,Melbourne (CBD),Gin Palace,150,144.96758,-37.81391,"(-37.81390784, 144.9675812)"
2018,46,101133,101133,209-215 Bourke Street,Melbourne (CBD),Treasure Star,150,144.96730,-37.81328,"(-37.81328013, 144.9673002)"
2018,84,103207,103207,315-321 Elizabeth Street,Melbourne (CBD),The Meeting Place,250,144.96147,-37.81125,"(-37.81124948, 144.961472)"
2018,64,515538,515538,4-6 Goldie Place,Melbourne (CBD),Paris Cat Jazz Club,120,144.96083,-37.81352,"(-37.81351797, 144.9608287)"
2018,54,104653,104653,21-25 Hardware Lane,Melbourne (CBD),Campari House,326,144.96131,-37.81409,"(-37.81409145, 144.9613142)"
2018,46,111394,111394,16-30 Russell Place,Melbourne (CBD),Bar Ampere,60,144.96744,-37.81357,"(-37.81356949, 144.9674365)"
2018,64,104659,104659,67-73 Hardware Lane,Melbourne (CBD),Charlie's Bar,143,144.96091,-37.81323,"(-37.81323464, 144.9609079)"
2018,12,105401,105401,14-20 King Street,Melbourne (CBD),Tramp Bar,200,144.95771,-37.81978,"(-37.81977597, 144.9577144)"
2018,74,106019,106019,399-401 Little Lonsdale Street,Melbourne (CBD),Novotel/Ibis Melbourne Central,786,144.96014,-37.81204,"(-37.81204345, 144.9601361)"
2018,63,105867,105867,428-432 Little Bourke Street,Melbourne (CBD),DANSK Restaurant,100,144.95973,-37.81392,"(-37.81392027, 144.9597266)"
2018,43,108068,108068,111-129 Queen Street,Melbourne (CBD),Karstens At CQ,170,144.96063,-37.81581,"(-37.81581229, 144.9606335)"
2018,43,108068,108068,111-129 Queen Street,Melbourne (CBD),Blue Diamond,200,144.96063,-37.81581,"(-37.81581229, 144.9606335)"
2018,33,108064,108064,85-91 Queen Street,Melbourne (CBD),Melbourne Black Rabbit,230,144.96102,-37.81650,"(-37.81649726, 144.9610212)"
2018,43,108068,108068,111-129 Queen Street,Melbourne (CBD),CQ Bar,100,144.96063,-37.81581,"(-37.81581229, 144.9606335)"
2018,66,635138,635138,13 Heffernan Lane,Melbourne (CBD),Union Electric,100,144.96659,-37.81180,"(-37.81180175, 144.9665913)"
2018,16,108532,108532,27-37 Russell Street,Melbourne (CBD),Whiskey Den,40,144.96925,-37.81599,"(-37.8159874, 144.9692477)"
